,ID,Plant_ID,Temp,OE_treatment,Milkweed,Lineage,OE_strain,PlotNum,ibutton,Surv_pupa,Surv_adult,PupalMass,Date_inoculated,Date_into_pint,PupalScore,Date_PupScore,Eclosion_Date,Sex,OE_tape_score,InfectionStatus,Death_date,Notes,Inoc_to_pupa,AdultLongevity,AvgOE_corner,OE_5ml,LogOE,ForewingLength.mm.,CtoN,CtoN_Jul
173,87a,87,elevated,infected,swamp,C,WV1,24,H4,1,1,1.417,6/10/2021,6/24/2021,2,29-Jun,6/30/2021,M,NA,1,7/13/2021,,14,13,2.1,105000,5.021193435,54.5,11.21,
174,87b,87,elevated,infected,swamp,C,WV1,24,H4,1,1,1.294,6/10/2021,6/24/2021,0,26-Jun,6/28/2021,M,5,1,7/7/2021,,14,9,2.2,110000,5.041396633,51.4,11.21,
175,88a,88,elevated,control,swamp,A,C,24,H4,1,1,1.359,6/10/2021,6/25/2021,,,6/29/2021,F,0,0,7/13/2021,,15,14,NA,NA,NA,52.2,9.03,
176,88b,88,elevated,control,swamp,A,C,24,H4,1,1,1.417,6/10/2021,6/25/2021,,,6/30/2021,M,0,0,7/21/2021,,15,21,NA,NA,NA,50.7,9.03,
177,89a,89,ambient,infected,tropical,E,WV1,25,T14,1,1,1.534,6/10/2021,6/25/2021,2,28-Jun,6/30/2021,M,NA,1,7/17/2021,,15,17,0.7,35000,4.544080453,53.4,,
178,89b,89,ambient,infected,tropical,E,WV1,25,T14,1,1,1.44,6/10/2021,6/25/2021,3,28-Jun,6/30/2021,M,NA,1,7/15/2021,,15,15,2.75,137500,5.138305857,54.2,,
179,90a,90,ambient,control,tropical,C,C,25,T14,1,1,1.076,6/10/2021,6/24/2021,,,6/28/2021,F,0,0,7/14/2021,,14,16,NA,NA,NA,49.1,9.74,
180,90b,90,ambient,control,tropical,C,C,25,T14,1,1,1.462,6/10/2021,6/24/2021,,,6/30/2021,M,0,0,7/21/2021,,14,21,NA,NA,NA,52.8,9.74,
181,91a,91,ambient,infected,swamp,C,E6,25,T14,1,1,1.303,6/11/2021,6/25/2021,2,28-Jun,6/30/2021,M,NA,1,7/14/2021,,14,14,0.95,47500,4.676702753,50.3,,
182,91b,91,ambient,infected,swamp,C,E6,25,T14,1,1,1.37,6/11/2021,6/25/2021,0,28-Jun,6/29/2021,F,0,0,7/19/2021,,14,20,NA,NA,NA,51.7,,
183,92a,92,ambient,control,swamp,A,C,25,T14,1,1,1.306,6/10/2021,6/23/2021,,,6/29/2021,M,0,0,7/16/2021,,13,17,NA,NA,NA,50.5,,
184,92b,92,ambient,control,swamp,A,C,25,T14,1,1,1.354,6/10/2021,6/23/2021,,,6/28/2021,M,0,0,7/21/2021,,13,23,NA,NA,NA,51.6,,
185,93a,93,elevated,infected,tropical,E,WV1,26,T4,1,1,1.342,6/11/2021,6/27/2021,2,29-Jun,6/30/2021,M,NA,1,7/18/2021,,16,18,0.15,7500,3.875119165,52.3,,
186,93b,93,elevated,infected,tropical,E,WV1,26,T4,0,0,NA,6/11/2021,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,
187,94a,94,elevated,control,tropical,A,C,26,T4,1,1,1.238,6/10/2021,6/24/2021,,,6/28/2021,F,0,0,7/24/2021,,14,26,NA,NA,NA,50.2,,
188,94b,94,elevated,control,tropical,A,C,26,T4,1,1,1.315,6/10/2021,6/24/2021,,,6/28/2021,F,0,0,7/18/2021,,14,20,NA,NA,NA,52.2,,
189,95a,95,elevated,infected,swamp,A,E6,26,T4,1,1,1.255,6/11/2021,6/26/2021,2,28-Jun,6/29/2021,F,NA,0,7/24/2021,,15,25,0,0,0,52.6,,
190,95b,95,elevated,infected,swamp,A,E6,26,T4,1,1,1.367,6/11/2021,6/26/2021,wrinkled,28-Jun,6/30/2021,F,5,1,7/8/2021,,15,8,8.05,402500,5.604766964,52.8,,
191,96a,96,elevated,control,swamp,E,C,26,T4,1,1,1.479,6/10/2021,6/24/2021,,,6/29/2021,M,0,0,7/20/2021,,14,21,NA,NA,NA,53.7,,
192,96b,96,elevated,control,swamp,E,C,26,T4,1,1,1.302,6/10/2021,6/24/2021,,,6/28/2021,F,0,0,7/16/2021,,14,18,NA,NA,NA,51.7,,
193,97a,97,ambient,infected,tropical,C,E6,27,T17,1,1,1.426,6/11/2021,6/27/2021,0,29-Jun,6/30/2021,M,4,1,7/21/2021,,16,21,0.05,2500,3.398113692,53,,
194,97b,97,ambient,infected,tropical,C,E6,27,T17,1,1,1.412,6/11/2021,6/27/2021,3,29-Jun,6/30/2021,M,NA,1,7/8/2021,,16,8,16.5,825000,5.916454475,54.3,,
195,98a,98,ambient,control,tropical,C,C,27,T17,1,1,1.441,6/10/2021,6/27/2021,,,6/30/2021,M,0,0,7/23/2021,,17,23,NA,NA,NA,54.1,,
196,98b,98,ambient,control,tropical,C,C,27,T17,1,1,1.44,6/10/2021,6/27/2021,,,6/30/2021,M,0,0,7/24/2021,,17,24,NA,NA,NA,53.1,,
197,99a,99,ambient,infected,swamp,C,WV1,27,T17,0,0,NA,6/11/2021,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,
198,99b,99,ambient,infected,swamp,C,WV1,27,T17,0,0,NA,6/11/2021,NA,,,NA,NA,NA,NA,NA,katydid in net during pupa check,NA,NA,NA,NA,NA,NA,,
199,100a,100,ambient,control,swamp,E,C,27,T17,1,1,1.27,6/10/2021,6/25/2021,,,6/30/2021,F,0,0,7/17/2021,,15,17,NA,NA,NA,51.9,,
200,100b,100,ambient,control,swamp,E,C,27,T17,0,0,NA,6/10/2021,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,
